country,cluster_id,year.x,year.y,lat,lon,lsms_id.x,lsms_id.y,diff_of_index,index_of_diff,asset_index.x,asset_index.y,n
et,01010201403,2011,2015,14.2885896726,38.210251919,et_01010201403_2011,et_01010201403_2015,0.2935119534832119,0.28987197621206356,-2.3241459812447713,-2.0306340277615593,5
et,01010300106,2011,2015,14.1097608206,38.4738350524,et_01010300106_2011,et_01010300106_2015,0.40220372901825674,0.3248782590762707,0.9462980376768508,1.3485017666951076,6
et,01010301804,2011,2015,13.8440840301,38.4803250395,et_01010301804_2011,et_01010301804_2015,0.26922611354285025,0.21155215112849748,-2.1945134240861943,-1.9252873105433443,5
et,01010600402,2011,2015,13.642517176,38.1191822345,et_01010600402_2011,et_01010600402_2015,1.2901425748609445,1.0073285833064867,-2.4699195084619063,-1.1797769336009616,4
et,01020100207,2011,2015,14.2834679193,38.5730157222,et_01020100207_2011,et_01020100207_2015,-0.9484766771736086,-0.7986568571331975,-1.1174758116142163,-2.0659524887878247,4
et,01020200802,2011,2015,14.3007959467,39.0594892637,et_01020200802_2011,et_01020200802_2015,0.2537271485534998,0.21136252002801093,-2.4634517780789977,-2.209724629525498,4
et,01020301001,2011,2015,14.1583566438,39.2258474475,et_01020301001_2011,et_01020301001_2015,0.16525360707130732,0.6200331648596176,-2.4962915487889603,-2.331037941717653,4
et,01020401702,2011,2015,14.0859773206,38.9755077144,et_01020401702_2011,et_01020401702_2015,0.1687880259976537,0.9898593886490109,-1.561065099762559,-1.3922770737649053,4
et,01020601301,2011,2015,13.985946938,38.6492990176,et_01020601301_2011,et_01020601301_2015,0.25295952541888156,0.8054995274778657,-1.5740299105120599,-1.3210703850931782,7
et,01020800603,2011,2015,13.781326561,38.9865118422,et_01020800603_2011,et_01020800603_2015,0.1681869185278691,0.014337903111677403,-2.483268845346262,-2.3150819268183933,4
et,01020900602,2011,2015,13.691822766,39.2019014551,et_01020900602_2011,et_01020900602_2015,-0.131685716281509,0.1712880405971836,-2.2660865203775633,-2.397772236659072,4
et,01030100204,2011,2015,14.4559615944,39.4790823741,et_01030100204_2011,et_01030100204_2015,1.236481956276411,1.1576549381266243,-1.3140251931159832,-0.07754323683957205,5
et,01030300605,2011,2015,14.2527065254,39.6508902034,et_01030300605_2011,et_01030300605_2015,-0.6193848570683969,0.1118898865122378,-0.4550613623491447,-1.0744462194175415,3
et,01030400101,2011,2015,14.3192174691,39.2715992602,et_01030400101_2011,et_01030400101_2015,1.1322799666117322,1.64983926916389,-1.7733666034941846,-0.6410866368824525,5
et,01030501202,2011,2015,13.9843705066,39.5331294187,et_01030501202_2011,et_01030501202_2015,0.547800565836824,0.28391912011153714,-2.2466042378569866,-1.6988036720201627,5
et,01030700116,2011,2015,13.8426043605,39.7196438594,et_01030700116_2011,et_01030700116_2015,0.26694659266436976,0.12949663407702922,-0.09156754551984461,0.17537904714452515,4
et,01030700709,2011,2015,13.895387614,39.7873002106,et_01030700709_2011,et_01030700709_2015,-0.606276833667771,0.03692299906540788,-0.6803594450801036,-1.2866362787478747,4
et,01040101204,2011,2015,13.2349577336,39.1634392625,et_01040101204_2011,et_01040101204_2015,0.1634910456730489,-0.5952074193850782,-2.0703493992510316,-1.9068583535779826,5
et,01040400103,2011,2015,13.01685124,39.3671636164,et_01040400103_2011,et_01040400103_2015,0.61665687212203,0.9433066674758914,-2.534096348409685,-1.9174394762876548,5
